epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,16423.8,1.29735,2.93253,1.2635,0.68825,0.64269,0.69221,0.42484,1.36629,3.0584,1.34171,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,16931.5,1.2898,2.90582,1.2591,0.68496,0.64659,0.69293,0.4259,1.36499,3.05041,1.33953,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,17441.6,1.28768,2.89465,1.25666,0.68301,0.65058,0.69495,0.42747,1.36428,3.0447,1.33847,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,17951.8,1.28763,2.88214,1.26028,0.68546,0.65031,0.69608,0.42843,1.36439,3.03497,1.33877,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,18456.8,1.27564,2.8241,1.24817,0.6903,0.64826,0.69764,0.42955,1.36365,3.02874,1.3384,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,18963.4,1.27282,2.81667,1.25002,0.7008,0.64455,0.6985,0.43043,1.36204,3.0214,1.33649,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,19470.8,1.2723,2.78896,1.24708,0.69774,0.64854,0.69912,0.43071,1.36123,3.01082,1.33584,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,19979.5,1.26558,2.76674,1.24455,0.6933,0.65162,0.69958,0.43119,1.36073,3.00539,1.33531,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,20487.4,1.26013,2.75251,1.23658,0.69664,0.65048,0.70068,0.43207,1.35978,3.00108,1.33395,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,20992.6,1.24726,2.56331,1.26049,0.69111,0.65555,0.7014,0.43265,1.3581,2.99654,1.33389,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,21495.2,1.23843,2.49851,1.25116,0.69742,0.6544,0.70269,0.43363,1.35674,2.99011,1.33384,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,21996.8,1.22978,2.46291,1.24555,0.69774,0.65648,0.70313,0.43436,1.35584,2.98673,1.3333,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,22497.3,1.22151,2.42828,1.23623,0.69747,0.65677,0.70356,0.43493,1.35517,2.98367,1.33218,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,23000.3,1.2154,2.40032,1.24026,0.70094,0.65619,0.70381,0.43539,1.3547,2.98099,1.33214,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,23502.4,1.2061,2.37084,1.23006,0.70236,0.65579,0.70498,0.43607,1.35435,2.97964,1.3317,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,24005.2,1.19927,2.33578,1.22684,0.70067,0.65801,0.70561,0.43638,1.35427,2.97853,1.33177,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,24505.3,1.19255,2.30314,1.2227,0.70131,0.65749,0.70549,0.43639,1.35436,2.98017,1.33184,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,25007.4,1.18794,2.27971,1.21982,0.69608,0.66175,0.70548,0.43635,1.35439,2.98148,1.33212,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,25509.7,1.18249,2.26111,1.21802,0.70009,0.65984,0.70542,0.43654,1.35448,2.98139,1.33223,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
