epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,19270.4,1.38433,3.50916,1.39213,0.65973,0.58179,0.64182,0.38096,1.44124,3.43101,1.40741,0.00029705,0.00029705,0.00029705
43,19733.4,1.38731,3.53321,1.39741,0.66166,0.58329,0.64311,0.38156,1.43929,3.42087,1.40585,0.0002921,0.0002921,0.0002921
44,20192.5,1.38392,3.51889,1.39496,0.66051,0.58814,0.64512,0.38268,1.43845,3.40749,1.40444,0.00028715,0.00028715,0.00028715
45,20649.3,1.38404,3.48851,1.39016,0.6596,0.58907,0.64601,0.38295,1.43799,3.4017,1.40315,0.0002822,0.0002822,0.0002822
46,21101.5,1.38266,3.47807,1.39047,0.66114,0.58951,0.64729,0.38403,1.43651,3.3879,1.40169,0.00027725,0.00027725,0.00027725
47,21558,1.37575,3.44595,1.38597,0.662,0.59126,0.64855,0.38473,1.43528,3.38172,1.39995,0.0002723,0.0002723,0.0002723
48,22016,1.37609,3.46278,1.38885,0.66209,0.59277,0.6493,0.38542,1.43416,3.37705,1.39879,0.00026735,0.00026735,0.00026735
49,22472.6,1.37208,3.44743,1.38259,0.66349,0.59361,0.65036,0.38612,1.43329,3.37112,1.39765,0.0002624,0.0002624,0.0002624
50,22929.3,1.37405,3.43843,1.38389,0.66539,0.59363,0.6513,0.38678,1.43231,3.36563,1.3967,0.00025745,0.00025745,0.00025745
51,23385.9,1.37364,3.42509,1.38312,0.66507,0.59367,0.65151,0.38735,1.43162,3.36213,1.39588,0.0002525,0.0002525,0.0002525
52,23844,1.36391,3.40052,1.37406,0.66212,0.59557,0.65198,0.38788,1.43054,3.35668,1.39464,0.00024755,0.00024755,0.00024755
53,24304.5,1.36311,3.37703,1.37825,0.6626,0.59661,0.65249,0.38838,1.42992,3.3518,1.39378,0.0002426,0.0002426,0.0002426
54,24761.3,1.3601,3.35556,1.37038,0.66333,0.59764,0.65332,0.38888,1.42944,3.34866,1.39331,0.00023765,0.00023765,0.00023765
55,25215.7,1.36359,3.36674,1.37448,0.6651,0.59763,0.65376,0.38944,1.42853,3.34383,1.39263,0.0002327,0.0002327,0.0002327
56,25671.4,1.35464,3.3273,1.3665,0.66554,0.59895,0.6545,0.38975,1.42773,3.34092,1.39153,0.00022775,0.00022775,0.00022775
57,26126.1,1.35243,3.32657,1.36945,0.66666,0.59903,0.65486,0.3902,1.42707,3.33828,1.39115,0.0002228,0.0002228,0.0002228
58,26578.4,1.35128,3.2991,1.36684,0.66692,0.60038,0.65518,0.39069,1.42679,3.33574,1.39095,0.00021785,0.00021785,0.00021785
59,27028.6,1.34572,3.27836,1.35959,0.66692,0.60121,0.6559,0.39086,1.42633,3.33349,1.39058,0.0002129,0.0002129,0.0002129
60,27479.4,1.34299,3.26481,1.36236,0.6642,0.60313,0.65609,0.39106,1.426,3.33168,1.39036,0.00020795,0.00020795,0.00020795
61,27929.9,1.34248,3.26453,1.36,0.66418,0.60311,0.65646,0.39135,1.42529,3.32925,1.38966,0.000203,0.000203,0.000203
62,28380.8,1.34376,3.26314,1.36003,0.66495,0.60488,0.6575,0.39192,1.42497,3.32385,1.3891,0.00019805,0.00019805,0.00019805
63,28833,1.34065,3.24444,1.36075,0.66793,0.60191,0.65728,0.39209,1.42474,3.32252,1.38851,0.0001931,0.0001931,0.0001931
64,29285,1.33729,3.23312,1.35833,0.66908,0.60274,0.65765,0.39256,1.42424,3.31896,1.38819,0.00018815,0.00018815,0.00018815
65,29736.2,1.33619,3.22285,1.35763,0.67185,0.60292,0.65809,0.39307,1.42347,3.31426,1.3877,0.0001832,0.0001832,0.0001832
66,30194.8,1.33798,3.2148,1.35665,0.67105,0.60331,0.65874,0.39366,1.42315,3.31139,1.38723,0.00017825,0.00017825,0.00017825
67,30650.8,1.33523,3.1923,1.35203,0.67108,0.6032,0.65884,0.3939,1.42266,3.30858,1.38663,0.0001733,0.0001733,0.0001733
68,31106.3,1.33316,3.17967,1.35043,0.67501,0.6014,0.65948,0.39438,1.4222,3.30499,1.38606,0.00016835,0.00016835,0.00016835
69,31562,1.33114,3.17667,1.35141,0.67553,0.60131,0.6598,0.39466,1.42179,3.30311,1.38535,0.0001634,0.0001634,0.0001634
70,32020.3,1.32937,3.16317,1.352,0.67536,0.60229,0.66037,0.39503,1.42124,3.3006,1.38466,0.00015845,0.00015845,0.00015845
71,32481.9,1.32608,3.16307,1.34819,0.67545,0.60257,0.66101,0.39526,1.42083,3.29711,1.38408,0.0001535,0.0001535,0.0001535
72,32943.9,1.3288,3.17097,1.34669,0.674,0.60512,0.66147,0.39566,1.42041,3.29342,1.38332,0.00014855,0.00014855,0.00014855
73,33404.6,1.32443,3.14287,1.34241,0.6727,0.60623,0.66179,0.39603,1.42004,3.29157,1.38271,0.0001436,0.0001436,0.0001436
74,33866.6,1.31846,3.10506,1.34412,0.67361,0.60581,0.66231,0.39634,1.4197,3.28838,1.38209,0.00013865,0.00013865,0.00013865
75,34326,1.31829,3.1104,1.34063,0.67072,0.60818,0.66253,0.39667,1.41965,3.28601,1.38172,0.0001337,0.0001337,0.0001337
76,34781.6,1.32285,3.12082,1.34441,0.67048,0.60874,0.66326,0.39709,1.41917,3.28333,1.38121,0.00012875,0.00012875,0.00012875
77,35233.4,1.31487,3.09203,1.33845,0.67171,0.60909,0.6641,0.39757,1.41876,3.27829,1.38065,0.0001238,0.0001238,0.0001238
78,35689.4,1.30896,3.06933,1.3334,0.67238,0.60979,0.66458,0.39794,1.41818,3.27505,1.38,0.00011885,0.00011885,0.00011885
79,36144.3,1.31445,3.09124,1.34008,0.6729,0.61047,0.66502,0.39828,1.41772,3.27165,1.37951,0.0001139,0.0001139,0.0001139
80,36602.2,1.30961,3.0711,1.33276,0.67355,0.61054,0.66581,0.39876,1.41692,3.26596,1.3787,0.00010895,0.00010895,0.00010895
81,37060.8,1.30759,3.06269,1.3319,0.6721,0.61169,0.66614,0.39899,1.41661,3.26414,1.37803,0.000104,0.000104,0.000104
82,37519.2,1.30774,3.04721,1.33067,0.67423,0.6118,0.66684,0.39954,1.41629,3.26158,1.37745,9.905e-05,9.905e-05,9.905e-05
